name,city,province,postalCode,latitude,longitude,full_name
Krystal,Orlando,FL,32808,28.552591999999997,-81.464927,Krystal
Baja Fresh,Lafayette,CA,94549,37.891487,-122.12335,Baja Fresh
McDonald's,Denham Springs,LA,70726,30.528321999999996,-90.956294,Mcdonald's
McDonald's,Bolivar,MO,65613,37.60553,-93.40686,McDonald's
Taco Bell,Bolivar,MO,65613,37.596828,-93.40306600000001,Taco Bell
Taco Bell,Jefferson City,MO,65109,38.55503,-92.19906999999999,Taco Bell
Taco Bell,Jefferson City,MO,65109,38.581753000000006,-92.219515,Taco Bell
Chick-fil-A,Jefferson City,MO,65109,38.58141,-92.24298,Chick-fil-A
Burger King,Bolivar,MO,65613,37.596371999999995,-93.402919,Burger King
Bojangles' Famous Chicken 'n Biscuits,Southport,NC,28461,33.9516,-78.0426,Bojangles' Famous Chicken 'n Biscuits
Burger King,Quincy,IL,62301,39.93634,-91.35880999999999,Burger King
Arby's,Rogers,AR,72756,36.32953,-94.12543000000001,Arby's
Wendy's,Springdale,AR,72764,36.167387,-94.143617,Wendy's
Subway,Huntsville,AR,72740,36.08869,-93.74247,SUBWAY
Hardee's,Springdale,AR,72764,36.1825,-94.138655,Hardee's
McDonald's,Springdale,AR,72764,36.167320000000004,-94.11799,McDonald's
Burger King,Springdale,AR,72764,36.170759999999994,-94.13973,Burger King
McDonald's,Keokuk,IA,52632,40.40352,-91.39081999999999,McDonald's
Taco Bell,Fort Madison,IA,52627,40.63043,-91.32385,Taco Bell
Taco Bell,Joplin,MO,64801,37.079654,-94.477436,Taco Bell
Pollo Tropical,Miami,FL,33157,25.594611999999998,-80.35614100000001,Pollo Tropical
Burger King,Saint James,MO,65559,38.003166,-91.61875,Burger King
McDonald's,New Orleans,LA,70123,29.956277000000004,-90.217056,McDonald's
Wendy's,Tupelo,MS,38801,34.252984999999995,-88.716015,Wendy's
Burger King,Tupelo,MS,38801,34.25764,-88.71664,Burger King
Burger King,Pontotoc,MS,38863,34.257816,-89.018178,Burger King
Arby's,Franklin,TN,37064,35.915442999999996,-86.83398299999999,Arby's
Domino's Pizza,Pontotoc,MS,38863,34.25054,-89.01787,Domino's Pizza
Domino's Pizza,Tupelo,MS,38801,34.2297,-88.7196,Domino's Pizza
Burger King,Lucedale,AL,39452-6632,30.733883000000002,-88.4936,Burger King
Burger King,Biloxi,AL,39531,30.40158,-88.97576,Burger King
Waffle House,Pearl,AL,39208,32.26905,-90.13568000000001,Waffle House
Popeye's,Jackson,AL,39209,32.300625709,-90.258128236,Popeye's Chicken & Biscuits
Popeye's,Jackson,AL,39209,32.328147485,-90.25158736799999,Popeye's Chicken & Biscuits
Hardee's,Garner,IA,50438,43.10586,-93.607445,Hardee's
Burger King,Spencer,IA,51301,43.125809999999994,-95.14723000000001,Burger King
McDonald's,Fairfield,IA,52556,41.00652,-91.98436,McDonald's
Jimmy John's,Fort Dodge,IA,50501,42.50182,-94.15404000000001,Jimmy Johns
Wendy's,Fort Dodge,IA,50501,42.50071,-94.16583,Wendy's
McDonald's,Fort Dodge,IA,50501,42.5011,-94.16261,McDonald's
Arby's,Dubuque,IA,52002,42.502143,-90.72184,Arby's
Wendy's,Dubuque,IA,52001,42.5121,-90.6552,Wendy's
Backyard Burgers,Memphis,TN,38119,35.099798,-89.848067,Back Yard Burgers
Burger King,Spirit Lake,IA,51360,43.42173,-95.12424,Burger King
Krystal,Tifton,GA,31794,31.458252,-83.526697,Krystal
Arby's,Tifton,GA,31794,31.4575,-83.52582,Arby's
Bojangles' Famous Chicken 'n Biscuits,Tifton,GA,31793,31.451334999999997,-83.524973,Bojangles' Famous Chicken 'n Biscuits
Hardee's,Dubuque,IA,52001,42.512515,-90.66623299999999,Hardee's
McDonald's,Dubuque,IA,52001,42.499765999999994,-90.66504599999999,McDonald's
